subset,peak_bacc,peak_time_s,early_window_mean_bacc,full_window_mean_bacc,mean_auc
all,1.0,0.47000000000000003,0.9277597402597402,0.9121098200045566,0.9367737525632265
no_song,0.9545454545454546,0.52,0.8847402597402597,0.8595921622237412,0.9039644565960355
song_only,1.0,0.67,0.8812229437229437,0.9129642287537021,0.946684894053315
