subset,peak_divergence_raw,peak_divergence_partial,peak_time_raw_s,peak_time_partial_s,early_mean_raw,early_mean_partial,fraction_surviving_at_peak,p_peak_raw,p_peak_partial,n_electrodes
all,0.21523003745379732,0.08781954731740682,1.72,1.47,0.16711113483834178,0.06838337757212297,0.39459489652647306,0.000999000999000999,0.10789210789210789,33
no_song,0.10840986469866498,0.05185904938539454,0.26999999999999996,0.22,0.048662759718041584,0.01540312580836764,0.4696580390282459,0.004995004995004995,0.4095904095904096,26
song_only,0.40829578139152767,0.19136979369340545,0.37,1.37,0.29903955635987356,0.09291597853164936,0.33072001170731175,0.001998001998001998,0.05194805194805195,7
