metric,task,subset_size,n_random_subsets,true_song_only,null_mean,null_std,null_median,ref_all,ref_no_song,p_greater_vs_random,diff_ci_lo,diff_ci_median,diff_ci_hi
bacc,song_vs_music,7,1000,0.8398268398268398,0.8552229437229437,0.059782132535056695,0.8614718614718615,0.9545454545454546,0.8852813852813852,0.6293706293706294,-0.019124134199134175,-0.015187229437229444,-0.01174740259740258
divergence,song_vs_music,7,1000,0.23582290746422763,0.19766963859337885,0.13320144508507534,0.17937149019434323,0.23987841350931705,0.21234920637450205,0.34965034965034963,0.029584793707103058,0.03831275260096981,0.046513533576577955
