subset,diag_mean_bacc,offdiag_mean_bacc,max_bacc
all,0.9121098200045566,0.8397998317784414,1.0
no_song,0.8595921622237412,0.7547862120054634,1.0
song_only,0.9129642287537021,0.8327005733422845,1.0
