subset,peak_divergence,peak_time_s,early_window_mean,boot_ci_lo_at_peak,boot_ci_hi_at_peak,p_peak_permutation
all,0.21523003745379732,1.72,0.16711113483834178,0.03640389625165173,0.20116913369720466,0.000999000999000999
no_song,0.10840986469866498,0.26999999999999996,0.048662759718041584,0.14977391047862668,0.3462541608991048,0.004995004995004995
song_only,0.40829578139152767,0.37,0.29903955635987356,0.09235304051776504,0.3949720783907016,0.001998001998001998
