electrode_group,mean_delta_bacc,std_delta_bacc,mean_delta_divergence,n,perm_p_song_vs_rest_bacc
music,0.0030240891484910907,0.0026477120391054892,0.004899092434634428,11,0.013986013986013986
song,0.005321745923249664,0.004138289559146343,0.0016674244159543075,7,0.013986013986013986
speech,0.0020012151591099,0.002348235800896401,-0.003893300497938723,15,0.013986013986013986
