task,model,bacc,macro_f1,fold_bacc_std,recall_music,recall_song,recall_speech
song_vs_music_all_electrodes,autoencoder_latent_logreg,0.9545454545454546,0.964562569213732,0.09999999999999999,1.0,0.9090909090909091,
song_vs_music_all_electrodes,linear_logreg,0.9545454545454546,0.964562569213732,0.09999999999999999,1.0,0.9090909090909091,
song_vs_music_all_electrodes,rbf_svm,0.9545454545454546,0.964562569213732,0.09999999999999999,1.0,0.9090909090909091,
three_class_all_electrodes,autoencoder_latent_logreg,0.9235209235209235,0.9269841269841269,0.10540925533894598,0.9523809523809523,0.8181818181818182,1.0
three_class_all_electrodes,linear_logreg,0.9696969696969697,0.9746031746031746,0.06666666666666665,1.0,0.9090909090909091,1.0
three_class_all_electrodes,rbf_svm,0.9696969696969697,0.976375046142488,0.06666666666666665,1.0,0.9090909090909091,1.0
