subset,model,n_elec,n_windows,mean_bacc,mean_auc,bacc_ci95_low,bacc_ci95_high
all,logreg,2395,1903,0.7772205186432448,0.8984951044380345,0.7326842230715609,0.7749732904543595
all,cnn,256,1903,0.7682367929562847,0.8391471975874765,0.7263541892962788,0.7687373238570452
right_STG,logreg,181,1903,0.6917429396739948,0.8138444063165565,0.6552598366991972,0.6955290047715809
right_STG,cnn,181,1903,0.7303438150750134,0.8381875054650365,0.699776426319206,0.7433056613730581
left_STG,logreg,245,1903,0.6836158161468127,0.7800396323899815,0.6668728184027695,0.7124385488639158
left_STG,cnn,245,1903,0.7272469647871797,0.807227799751848,0.706353450724085,0.7493911245399488
non_STG,logreg,1969,1903,0.7300008685090503,0.8924420069374625,0.6986527766258235,0.7426204412333786
non_STG,cnn,256,1903,0.7324273572093121,0.8249853864983102,0.6930630826000228,0.7374443119734718
